Which of the music on the epic 1982 album “Thriller” was recorded by members of what 80s group?	TOTO
The 1909 short “Mr.Flip” is believed to include the first instance of what comedy gag captured on film?	PIE IN THE FACE
In a classic scene from “The Seven Year Itch,” Marilyn Monroe’s skirt flies up as she asks what provocative question?	ISN’T IT DELICIOUS?
A popular pastime the world over, “karaoke” is a Japanese word which roughly translates to what?	EMPTY ORCHESTRA
The expression “red-letter day” derives from an old custom of using red ink on calendars to indicate what?	RELIGIOUS HOLIDAYS
In 1982, the very first album to be released commercially on CD was a popular 1978 LP by what artist?	BILLY JOEL
In its lesser-known verses, what popular song tells the story of a headstrong woman named Nelly Kelly?	TAKE ME OUT TO THE BALL GAME
In 1952, Tony the Tiger debuted on Kellogg’s cereal boxes along with what less successful mascot?	KATY THE KANGAROO
In fireworks, the color blue is created by burning compounds of what metal?	COPPER
Which of these retailers is credited with inventing the quilted goose down jacket after suffering a bout of hypothermia in 1936?	EDDIE BAUER
Whose New York Times obituary mentioned that “Since 1889” he “had been hopelessly insane”?	FRIEDRICH NIETZSCHE
Born Aristocles, it is believed Plato got his name from his wrestling coach, who called him “Platon,” meaning what?	BROAD
Introduced in 1912, what was the first flavor of Life Savers candy?	PEPPERMINT
Which of these classic toys had its official launch in 1978 at New York’s famous disco Studio 54?	SIMON
When the Social Security Administration began tracking the most popular baby names in 1880, what two names topped the list?	JOHN AND MARY
Because it is surrounded by land,which of these “seas” is actually the world’s largest lake?	CASPIAN SEA
What Hollywood legend’s wry last words were, “I should never have switched from scotch to martinis”?	HUMPHREY BOGART
Which of these countries is not home to a “Blue Zone,” a region with an unusually high number of centenarians?	BRAZIL
What actress’ voice was used when developing the voice of E.T. the Extra-Terrestrial?	DEBRA WINGER
Before the motorcycle gang,you would most likely find “Hells Angels” written on which of these?	WWII BOMBER PLANES
The Darien Gap,the only break in the highway system that runs from Alaska to Chile,lies between what two countries?	PANAMA AND COLOMBIA
Spotted by Woody Allen and Diane Keaton in Central Park,who makes an uncredited cameo in the 1977 film “Annie Hall”?	TRUMAN CAPOTE
TV actor Richard Belzer has appeared as Detective John Munch on all but which of these shows?	SCRUBS
In 1909, who became the first president to be depicted on a circulating U.S. monetary coin?	ABRAHAM LINCOLN
Most famous for his 1955 novel “Lolita,” author Vladimir Nabokov was also an expert in the study of what?	BUTTERFLIES
Joseph Smith,founder of the Mormon church,believed the Garden on Eden was located where?	MISSOURI
In 1974,what product became the first to be scanned by a retailer using the UPC bar code?	WRIGLEY’S GUM
Ian Fleming named his greatest literary creation,fictional spy James Bond,after a real-life what?	AMERICAN ORNITHOLOGIST
In the Tv series “The Brady Bunch,” what is Carol Brady’s maiden name?	TYLER
What lesser-known Patrick Swayze film was the first movie to be released with a PG-13 rating?	RED DAWN
According to NASA, what is the only planet in the solar system that would be able to float in water?	SATURN
In the song “Grandma Got Run Over By A Reindeer,” which of these facts about Grandma is not revealed?	SHE LOST HER HEARING AIDS
Leonardo Da Vinci wrote his famous notebooks mainly using what unusual method?	MIRROR WRITING
What does the Russian name “Sputnik” mean in English?	TRAVELING COMPANION
In a now-notorious episode of “Happy Days,” Fonzie agrees to waterski over a shark in order to do what?	CALL A LOCAL KID’S BLUFF
Excluding its fifty-six signatures,the Declaration of Independence ends with what word?	HONOR
The famously haunting score of the film “Jaws” opens with what ominously repeating first two notes?	E AND F *CORRECT*
Often compared to the Champs-Elysees,what city has a prominent avenue called “The Ku’Damm”?	BERLIN
In 2011,Channing Tatum admitted he worked as a what before making it big in movies?	EXOTIC DANCER
Held by “Wild Bill” Hickok when he was shot,what poker hand is known as a “Dead Man’s Hand”?	TWO ACES AND TWO EIGHTS *CORRECT*
The word “boycott” comes from the name of Charles C. Boycott,who was ostracized in 1880 for not doing what?	REDUCING RENTS
A rare achievement,which of these actresses won both an Oscar and a Tony for playing the same role?	ANNE BANCROFT
A wine steward found at fancier restaurants,the word “sommelier” comes from an old French term for what?	PACK ANIMAL DRIVER
While a larynx is the vocal organ of a human,a syrinx is the vocal organ of what animal?	BIRD
Sesame Street’s Bert and Ernie happen to share their names with a cop and a cabdriver from what classic film?	IT’S A WONDERFUL LIFE
Numbers preceded by the letter “K” are used to identify the over 600 works by what composer?	MOZART
Featuring scenes lit only by candles,what Kubrick film is famous for its limited use of artificial light?	BARRY LYNDON
According to the CDC, the average height of a U.S. adult male is closest to which of these?	5 FT 9 and A HALF INCHES
At the time he was “discovered” by music executives in 1954, Elvis Presley was working as a what?	TRUCK DRIVER
Used to describe a particular type of government rule, “junta” is a Spanish word that literally means what?	COMMITTEE
The Earth is approximately how many miles from the Sun?	93 MILLION
What president was the first to use the Oval Office as his personal workspace, and also had the idea to make it oval?	WILLIAM HOWARD TAFT
Famously cited in “Romeo and Juliet,” which of these gestures was considered an insult in Elizabethan times?	BITING YOUR THUMB
Which of these animals is reportedly responsible for the most human deaths in Africa?	HIPPOPOTAMUS
With less than 5 persons per square mile, what is the most sparsely populated country on Earth?	MONGOLIA
The sandwich is said to have been invented by John Montagu, the 4th Earl of Sandwich, so he could eat while doing what?	GAMBLING
What tribute is inscribed on the back of the U.S. military’s Purple Heart medal?	FOR MILITARY MERIT
Named for its resemblence to Germany’s Wilhelm II, the Emperor Tamarin monkey is noted for having what?	A VERY LARGE MUSTACHE
At the end of “Casablanca”, Ilsa leaves behind her beloved Rick to board a plane bound for what city?	LISBON
New Zealand is named after a province in what nation?	THE NETHERLANDS
The saying “Don’t give up the ship” comes from the last words of Captain James Lawrence, in what war?	WAR OF 1812
In Vittorio De Sica’s classic film “The Bicycle Thief,” the main character needs a bicycle to do what job?	HANG POSTERS
According to the Bureau of Engraving and Printing,what was the average cost of producing a new currency note in 2010?	9.6 CENTS
Composed by John Williams,the familiar theme song of “NBC Nightly News” has what title?	THE MISSION
The British royal family often forgoes surnames, but Prince William uses what last name in the military?	WALES
New Zealand is named after a province in what nation?	THE NETHERLANDS
In her unusual will,hotel magnate Leona Helmsley left $12 million to her beloved pooch,a Maltese named what?	TROUBLE
Who did artist Grant Wood use as the model for the farmer in his classic painting “American Gothic”?	HIS DENTIST
Traditionally hailed as the Pilgrims’ landing spot in 1620, Plymouth Rock is what type of rock?	GRANITE
Due to its strict obscenity laws.which of these countries once published a version of “Playboy” without any nudity?	INDONESIA
What Hawaiian island was once called the “Pineapple Island” because the Dole company owned most of it?	LANAI
The Philippines is an archipelago that is comprised of approximately how many individual islands?	7,100 *CORRECT*
According to legend, what Looney Tunes character was born in a warren under the old Dodgers stadium in Brooklyn?	BUGS BUNNY
The Rolling Stones’ classic “tongue” logo first appeared on the label of what album?	STICKY FINGERS
In 2011,Amy Chua raised a ruckus with a memoir of how she had been a “Tiger Mother” to her what?	TWO DAUGHTERS
In a 2011 news story,a woman used pepper spray to wrestle an Xbox from fellow shoppers during what store’s Black Friday sale?	WALMART
With increased amounts of the rare nutrient glucoraphanin,in 2011 scientists announced a “super” version of what vegetable?	BROCCOLI
Fetching a $3.9 million at auction in 2011, a record for a photograph, “Untitled #96” by Cindy Sherman depicts the artists doing what?	LYING ON THE FLOOR
When the iPod turned ten years old in 2011,Apple had sold roughly how many of them?	320 MILLION *CORRECT*
What cast member of the 2011 film “New Year’s Eve” also appears in it’s 2010 holiday-themed forerunner “Valentine’s Day”?	JESSICA BIEL
Fetching over $30,000, John Lennon’s rotten tooth that was auctioned in 2011 was which of the following?	MOLAR
Traveling over 200,000 miles to nearly 40 nations, Secretary of State Hilary Clinton visited all but which of these countries in 2011?	ALGERIA
Though they all have birth in 2011, which of these actresses’ new babies arrived earliest in the year?	PEN_LOPE CRUZ
Which 2011 comedy starred the White House’s former associate director for the Office of Public Engagement?	A VERY HAROLD & KUMAR 3D CHRISTMAS
In 2011, what company ended Exxon Mobil’s five-year reign as the world’s most valuable public company?	APPLE
In her highly publicized trial, Casey Anthony claimed to have left her daughter int he care of what fictional “nanny”?	ZANNY
Premiering in 2011, the NBC comedy “Up All Night” shares its name with a single released by what band in 2011?	BLINK-182
Which of these comedians does not voice a smurf in the 2011 move “The Smurfs”?	ADAM SANDLER
Named after his band’s 1998 song, what musician launched a brand of wine called “The Dreaming Tree” in 2011?	DAVE MATTHEWS
What sitcom comedienne sang the national anthem at Game 4 of the 2011 World Series?	ZOOEY DESCHANEL
All but which of these funny celebrities hosted an awards show in 2011?	RUSSELL BRAND
What cast member of the 2011 film “New Year’s Eve” also appears in its 2010 holiday-themed forerunner “Valentine’s Day”?	JESSICA BIEL
The narrator of which of these movies never actually appears as a character in the film?	THE ROYAL TANNENBAUMS
Introduced in 1888,the first vending machine in the United States dispensed what item?	GUM
Introduced in 1888, the first vending machine in the United States dispensed what item?	GUM
What mammal has the shortest known gestation period, an average of just 12.5 days?	AMERICAN OPPOSUM
Justin Bieber’s manager claims he “discovered” the young talent on YouTube, singing what R&B classic?	RESPECT
Which of these products is traditionally pink because its inventor only had pink dye on hand at the time of its creation?	BUBBLE GUM
Justin Bieber’s manager claims he “discovered” the young talent on YouTube,singing what R&B classic?	RESPECT
In 1885,what popular soft drink was invented at Morrison’s Old Corner Drug Store in Waco,TX?	DR.PEPPER
In a memorable scene from the movie “Philadelphia,” Tom Hanks interprets an aria sung by what opera great?	MARIA CALLAS
The American Heart Association says the average adult heart pumps about how much blood each day?	2000 GALLONS *CORRECT*
Now a museum,the Memphis motel where Martin Luther King,Jr. was assassinated has what name?	LORRAINE MOTEL
If the countries were represented by their national flowers,what would be the 2010 World Cup final match up?	RED CARNATIONS VS. TULIPS *CORRECT*
The Barcalounger company says that what American workplace perk began at their company in 1902?	COFFEE BREAKS
Bravo’s acclaimed “Inside The Actor’s Studio” made its television debut in 1994 with what guest?	PAUL NEWMAN
In 1963,what soap opera was interrupted by Walter Cronkite’s breaking news of the Kennedy assassination?	AS THE WORLD TURNS
Brittle in its original form,what type of plastic must be softened to make jelly sandals?	POLYVINYL CHLORIDE
The 2000 film “The Legend of Bagger Vance” is a retelling of what religion’s ancient scripture?	HINDUISM
What U.S. state’s name is believed to derive from a mythical paradise described in a 1510 Spanish novel?	CALIFORNIA
As of 2011,what massive hit song holds the record for most weeks spent at the top of the Billboard Hot 100 chart?	ONE SWEET DAY
On his father’s side,Barack Obama is a descendant of which of these African ethnic groups?	LUO *CORRECT*
Keith Ellison,the first Muslim elected to the U.S. Congress,was sworn in on a Koran once owned by what president?	THOMAS JEFFERSON
When President Garfield was shot in 1881,who invented a type of metal detector to try to find the bullet?	ALEXANDER GRAHAM BELL
According to the Federal Reserve Board,what was the average cost of producing a new one dollar bill in 2011?	5.5 CENTS *CORRECT*
In 1773,the Boston Tea Party was staged by angry colonists disguised as members of what Native American tribe?	MOHAWK
The Philippines is an archipelago that is comprised of approximately how many individual islands?	7,100 *CORRECT*
Eleanor Roosevelt famously described what group as having “the cleanest bodies,the filthiest minds,the highest morale”?	MARINES
Which of these familiar movie quotes was not part of an Academy Award-winning performance?	“YOU CAN’T HANDLE THE TRUTH!”
In 2010,Britain’s Prince Charles admitted to often engaging in what odd behavior,calling it “absolutely crucial”?	TALKING TO TREES
Which of these products is traditionally pink because its inventor only had pink dye on hand at the time of its creation?	BUBBLE GUM
During the Cold War,the U.S. government built a bunker to house Congress under what golf resort?	THE GREENBRIAR
Resigning over his country’s debt crisis in 2011,former Prime Minister of Greece George Papandreou was born in what U.S. state?	MINNESOTA
On a memorable 2011 “Jersey Shore” episode,which cast member inexplicably slammed his head into a concrete wall?	MIKE “THE SITUATION” SORRENTINO
In 1935,the first character-licensed lunch box came out,featuring which of these characters?	MICKEY MOUSE
With the instruction, “Guard this object carefully”, in 1888 Vincent Van Gogh sliced off a portion of his ear and gave it to whom?	A PROSTITUTE
Famed for its biodiversity,the Galapagos Islands have belonged to what South American country since 1832?	ECUADOR
To perform composer John Cage’s 1952 piece “4′ 33”,what must a pianist do?	SIT QUIETLY
In the classic poem “Casey At Bat,” what is the final score?	4 TO 2 *CORRECT*
Among his foes,which of these wizard spells is considered to be Harry Potter’s signature move?	EXPELLIARMUS
Which animal is considered to be the most fearless?	HONEY BADGER
What was the first institution in the United States to be officially chartered as a University?	UNIVERSITY OF PENNSYLVANIA
According to the Oxford English Dictionary, what politician was first to refer to a late night flight as a “red-eye”?	BARRY GOLDWATER
Voiced by Candice Bergen,what is the name of HAL 9000’s “sibling computer” featured in the movie “2010”?	SAL 9000 *CORRECT*
Though the field has few PhDs,pogonology is the study of what?	BEARDS
The phrase “eating humble pie” originally referred to a dish made from the innards of what animal?	DEER
What is Bart Simpson’s middle name?	JO-JO *CORRECT*
Which movie was reportedly so bad it inspired the Golden Raspberry Awards,which “honor” Hollywood’s worst films?	XANADU
Decades before WikiLeaks,the leaked “Pentagon Papers” were classified documents about what U.S. event?	VIETNAM WAR
What ’40s screen siren was also an inventor,patenting a technology that would later be used in modern cell phones?	HEDY LAMARR
Popularized by Malcolm Gladwell,”Dunbar’s number” suggests people can have,at most,about how many friends?	150 *CORRECT*
Also the name of Harry Potter’s beloved mentor,”dumbledore” is an old-fashioned word for what?	BUMBLEBEE
Site of a historic battle,the Alamo Mission gets its name from a Spanish word for a type of what?	TREE
What film actress is the daughter of two former porn stars,who reportedly met on the set of “Deep Throat”?	THORA BIRCH
In 2011,Oprah Winfrey made a final tear-filled bow on her talk show after 25 years and how many episodes?	4,561 *CORRECT*
What disease is believed to have been responsible for up to half of all human deaths since the Stone Age?	MALARIA
Known to Big Bird as just “Snuffy,” Sesame Street’s Mr.Snuffleupagus has what rarely used first name?	ALOYSIUS
In “The Godfather” film series,what was Kay’s maiden name before becoming Mrs. Michael Corleone?	ADAMS
Not factoring in inflation,the USDA estimates that a child born in 2010 costs about how much to raise to the age of 17?	$225,000 *CORRECT*
Which of these famous structures was completed most recently?	EIFFEL TOWER
In his only commercial endorsement, Elvis Presley sang a jingle for what product on a 1954 broadcast?	SOUTHERN MAID DONUTS
Equivalent to twenty bottles,which of these large bottles of champagne holds the greatest volume?	NEBUCHADNEZZAR
While making his seminal film “Citizen Kane,” Orson Welles reportedly studied what other film over 40 times for tips?	STAGECOACH
In 1935,which of these famous men co-invented the perfusion pump,predecessor to the artificial heart?	CHARLES LINDBERGH
Located at the far left of the keyboard,the lowest note on an 88-key piano is known as the “Low” what?	A *CORRECT*
In its series finale,what sitcom features two of its main characters memorably performing a duet to “Unforgettable”?	WILL & GRACE
In a series lasting 10 seasons,which of these actors did not star in all 292 episodes of “Beverly Hills,90210”?	LUKE PERRY
What classic sitcom was the first in television history to display a toilet?	LEAVE IT TO BEAVER
In the first episode of “L.A. Law,” what partner in the law firm McKenzie,Brackman,Chaney & Kuzak turns up dead at his desk?	CHANEY
The 1975 TV pilot for “The Muppet Show” featured what somewhat shocking subtitle?	SEX AND VIOLENCE
Which of the following “employees” of “The Office” is the only one not to have received an Emmy nomination?	JOHN KRASINSKI
Upon winning her Oscar for Best Song,who quipped,”This is the only naked man that will ever be in my bedroom”?	MELISSA ETHERIDGE
What Jazz legend once appeared on “The Cosby Show” playing Mr. Hampton,Vanessa’s clarinet teacher?	DIZZY GILLESPIE
Shirley Dinsdale,the first person to ever receive an Emmy Award,was what kind of entertainer?	VENTRILOQUIST
Headed by an Emmy-winning Craig T. Nelson,the Minnesota State University football team on “Coach” was the what?	SCREAMING EAGLES
Besides “Family Guy,” what is the only other animated show to be nominated for an Emmy for Outstanding Comedy Series?	THE FLINTSTONES
The intro to the second episode of “The Simpsons” contains the first “chalkboard gag,” with Bart writing “I will not” what?	WASTE CHALK
Which sitcom centers on a comedian that,by his own request,was never nominated for an Emmy for his work on the series?	THE COSBY SHOW
Officially a category in 2003,the first Emmy award for “Outstanding Reality-Competition” was presented to what TV series?	THE AMAZING RACE
What acclaimed TV drama holds the all-time record for most Emmy nominations in a single year with 27?	NYPD BLUE
Because they’re considered a Melmackian delicacy,ALF often attempts,albeit unsuccessfully,to eat the Tanner family cat named what?	LUCKY
With an investment of $10,000,what U.S. newspaper was founded by Alexander Hamilton back in 1801?	NEW YORK POST
Though the logo is blurred out on television,since the ’70s “60 Minutes” has featured what brand of stopwatch?	ARISTO
With police cars simply labeled “Metro Police,” which of these cop series took place in an unnamed American city?	HILL STREET BLUES
Accepting an Emmy for his work on “Dexter” in 2010,what actor accidentally thanked HBO instead of his employer Showtime?	JOHN LITHGOW
What First Lady started the tradition of the president’s wife making a guest appearance on “Sesame Street”?	BARBARA BUSH
In the series finale of “Frasier,” Dr. Crane ends his final radio show broadcast by quoting from what poet’s “Ulysses”?	ALFRED LORD TENNYSON
In a memorable episode of “Everybody Loves Raymond,” Robert suffers what unfortunate injury while on duty as a policeman?	GORED IN THE REAR BY A BULL
In the memorable “Chuckles Bites the Dust” episode of “The Mary Tyler Moore Show,” how does Chuckles the Clown die?	TRAMPLED BY AN ELEPHANT
When Tom Cruise jumped on her couch in 2005,a taken-aback Oprah uttered which of these phrases?	“YOU ARE GONE!”
Starring Sarah Michelle Gellar,the teen flick “Cruel Intentions” is based on the same novel as what more grown-up film?	DANGEROUS LIASONS
Who was the first married contestant to win “American Idol”?	KRIS ALLEN
Because Oprah loved it so much,what TV show once filmed a special 8-minute episode with her playing “Karen Stouffer”?	DESPERATE HOUSEWIVES
On “Friends,” Chandler’s subscription to what magazine has the misspelled label “Miss Chanandler Bong”?	TV GUIDE
What two “Brady Bunch” characters got their own spinoff in which they got married and moved in with each other’s families?	JAN & MARCIA
Signing off in January 2010,Conan O’Brien walked away from “The Tonight Show” after hosting how many episodes?	145 *CORRECT*
Known for its big name Hollywood guest stars,all but which of these actors appeared on the classic sitcom “I Love Lucy”?	FRANK SINATRA
“From 1946 to 1962,what country also celebrated its independence on July 4th,the day it was no longer a U.S. territory”?	THE PHILLIPPINES
What classic baseball movie features a night game backlit by Fourth of July fireworks?	THE SANDLOT
Fittingly titled “Independence Day,” which of these TV shows has a series finale that takes place on the Fourth of July?	THE WONDER YEARS
With a thermometer he bought for the occassion,what Founding Father recorded a high of 76 degrees on July 4,1776?	THOMAS JEFFERSON
“Long before burgers took hold,President Tyler on July 4,1841 served guests a soup made from what other meat?	TURTLE
Before writing his influential pamphlet,”Common Sense,” American Founding Father Thomas Paine worked as a what?	CORSETMAKER
Making it notoriously difficult to sing,”The Star-Spangled Banner” spans a musical interval known as a what?	TWELFTH
The part of the United States flag that is a blue field with white stars is known as which of the following?	UNION
In “Born on the Fourth of July,” the real-life subject of the film Ron Kovic makes a cameo appearance playing a what?	WORLD WAR II VETERAN
Whipped up by a chef running out of supplies,which of these all-American dishes was allegedly first served on July 4,1924?	CAESAR SALAD
In the first U.S.-published cookbook,1796’s “”American Cookery,””” the apple pie recipe calls for which of these ingredients?	ROSE WATER
Based on true events,which of these films opens with a scene of a murder taking place on the Fourth of July?	ZODIAC
To create a fireworks display that was red,white and blue,you would likely use all but which of these chemical elements?	BARIUM
John Hancock may have been the first,but who,months later,was the last person to sign the Declaration of Independence?	THOMAS MCKEAN
Many historians believe Paul Rever made his famous midnight ride on a horse with what name?	BROWN BEAUTY
In “Independence Day,” “POTUS” Bill Pullman vows to fight for freedom “not from tyranny, oppression, or persecution, but from” what?	ANNIHILATION
Long before burgers took hold, President Tyler on July 4th, 1841 served guests a soup made from what other meat?	TURTLE
Dying days later, what U.S. president is thought to have contracted cholera from iced milk and cherries at a 4th of July celebration?	ZACHARY TAYLOR
All but which of these classic movie posters features an American flag?	THE DEER HUNTER
To Chief Brody’s dismay in “Jaws,” the decision to not close Amity’s beaches for July 4th is made by the mayor named what?	VAUGHN
Later replaced by Lady Liberty,the female personification of the United States was a young woman named what?	COLUMBIA
Born July 4th,1826,Stephen Foster famously wrote “Camptown Races,” “My Old Kentucky Home” and which of these tunes?	OH! SUSANNA
At what event did Patrick Henry deliver his “give me liberty,or give me death” speech?	VIRGINIA CONVENTION
In “National Treasure,” Nicolas Cage quotes a line from the Declaration of Independence that includes all but which of these phrases?	INSURE DOMESTIC TRANQUILITY
Which of these iconic lines from “2001:A Space Odyssey” appears in the novel,but not the film?	“OH MY GOD–IT’S FULL OF STARS!”
The most famous gunfight of the American Old West,the gunfight at the O.K. Corral lasted about how long?	30 SECONDS
What male star appeared on “The Oprah Winfrey Show” 26 times,making him her most frequent male celebrity guest?	CHRIS ROCK
What is Eyjafjallajokull?	A VOLCANO IN ICELAND
According to the Oxford University Press,what is the most commonly used noun in the English language?	TIME
Unbeknownst to most parkgoers,”Club 33″ is a hidden,super-exclusive restaurant located in what part of Disneyland?	NEW ORLEANS SQUARE
What words are on the official flag of the Salvation Army?	BLOOD AND FIRE
Considered a key piece in human evolution,the Australopithecus afarensis fossil known as Lucy is about how old?	3.2 MILLION YEARS OLD
Meaning “being resentful,” the phrase “having a chip on your shoulder” is said to derive from dockworkers carrying “chips” of what?	WOOD
Known for classic toys,the Wham-O company got its name from the sound made by which of its products?	SLINGSHOT
Awarded a Fulbright Scholarship for engineering,what action hero quit MIT after two weeks to pursue acting?	DOLPH LUNDGREN
The Dalai Lama’s followers often refer to him as “Kundun,” a Tibetan word meaning what?	THE PRESENCE
In all of the English language,there are only two commonly used words that have what ending?	#NAME?
Though he does not drink coffee,what musician and Seattle native hit it big by investing in Starbucks in the 1980s?	KENNY G
Long of interest to scientists,the Brazilian town of Candido Godoi is known for producing children who are what?	TWINS
Considered a god of healing,which of these deities is mentioned in the classic Hippocratic oath?	APOLLO
In 1911,what explorer beat a rival by five weeks to become the first man to reach the South Pole?	ROALD AMUNDSEN
At what Spanish landmark did Columbus win the support of Isabella and Ferdinand to set sail for the New World?	THE ALHAMBRA
Before it became the ubiquitous birthday tune,the song “Happy Birthday to You” had what title?	GOOD MORNING TO ALL
When founded in 1946,the Centers for Disease Control and Prevention focused on what disease?	MALARIA
Which of these was not one of the four original Kellogg’s Pop-Tarts flavors?	CHERRY
Usually considered to be the world’s southernmost city,Ushuaia is located in what country?	ARGENTINA
In the 1911 novel “The Phantom of the Opera,” what is the Phantom’s name?	ERIK
In 2005,chess legend Bobby Fischer avoided deportation to the U.S. when he was granted citizenship where?	ICELAND
King Gustav of Sweden once said “Sir,you are the greatest athelete in the world” to what legendary Olympian?	JIM THORPE
Which of these popular games was an Olympic sport from 1900 to 1920?	TUG OF WAR
Competiting in 2012,Olympic weightlifter Holley Mangold is the younger sister of Nick Mangold,the center for what NFL team?	NEW YORK JETS
Before he was a Kardashian,Bruce Jenner set a world record when he won what final event of the ’76 Olympic decathlon?	1500 METERS
Charlotte Cooper,the first woman to win an individual Olympic gold medal,won in 1900 in what sport?	TENNIS
At the 1936 Olympics in Berlin,the U.S. men won the first basketball gold medal with a 19 to 8 victory over what country?	CANADA
Better known as “Olympic Fanfare,” the rousing theme heard in Olympics TV coverage is officiallly named what?	BUGLER’S DREAM
Which of these NBA stars is one of a select group of athletes to have lit the Olympic Cauldron?	STEVE NASH
The tradition of the torch relay,which starts in Greece and ends in the host city,debuted at what Olympic Games?	1936 BERLIN
In 1984 Carl Lewis repeated Jesse Owens’ 1936 feat by winning gold medals in all but which of these events?	HIGH JUMP
In a strange instance of early “doping,” Thomas Hicks won the 1904 Olympic marathon after taking what?	BRANDY AND STRYCHNINE
In equestrian dressage,a horse that is “piaffing” is doing what?	TROTTING IN PLACE
Future U.S. army general George Patton placed fifth in what sport at the 1912 Summer Olympics?	PENTATHLON
Before Kerri Strug,Shun Fujimoto competed in pommel horse and rings at the ’76 Olympics despite having a broken what?	KNEE
At the start of each Olympic games,one athlete recites the Olympic Oath,which contains all but which of these phrases?	THE GOODWILL OF OUR NATIONS
Alice Coachman became the first African-American woman to win an Olympic gold medal when she placed first in what event?	HIGH JUMP
While competiting in the Olympics,what NBA star one jumped over the head of a 7-foot tall French player and dunked?	VINCE CARTER
Before she turned her focus to golf,Babe Didrikson Zaharias won medals in all but which of these Olympic events?	STEEPLECHASE
In the Olympics,rhythmic gymnasts may use all of the following as props except which?	BATON
Which of the following is not one of the sixteen methods by which the U.S. Postal Service delivers mail?	BY SUBMARINE
Whose career was rejuvenated after singing “When The Saints Go Marching In” at the ’84 Olympics opening ceremony?	ETTA JAMES
The first member of the British Royal Family to compete in the Olympics,in 1976 Princess Anne placed 24th in what sport?	EQUESTRIAN
A.C. Gilbert,an Olympic gold medal pole-vaulter,invented what popular toy?	ERECTOR SET
In 2008,Michael Phelps won the 100m butterfly by just 0.01 second,when he edged out a competitor from what country?	SERBIA
At the 1928 Olympics,rower Bobby Pearce still went on to win gold even though he stopped in the middle of a race to do what?	LET DUCKS GO BY
Which of these Olympians was not a member of the “Magnificent Seven,” the women’s gymnastics team that won gold in 1996?	CARLY PATTERSON
Gold medals from every Summer Olympics since 1912 have been won by a former,current or future student of what school?	UNIVERSITY OF SOUTHERN CALIFORNIA
Making his official debut at the Munich games in 1972,who was the first official mascot of the Summer Olympics?	WALDI THE DACHSHUND
Up until the 1952 games,all but which of the following were competitions in the Olympic Games?	CUISINE
Translating to “Faster,Higher,Stronger,” what is the official Latin motto of the Olympic Games?	CITIUS,ALTIUS,FORTIUS
What U.S. city was the first to host an Olympic Games?	ST.LOUIS
What country trails only the U.S., the Soviet Union and Germany for all-time most Olympic medals?	GREAT BRITAIN
The first amputee track athlete to compete in the Olympics,Oscar “Blade Runner” Pistorius hails from what country?	SOUTH AFRICA
Long before he became Tarzan,future Olympian Johnny Weissmuller took up swimming as a way to treat what condition?	POLIO
At the first modern Olympic Games held in 1896,participants competed in all but which of these sports?	BOXING
At the 1988 Olympics,Greg Louganis won gold despite hitting his head on the springboard during what dive?	REVERSE 2 1/2 SOMERSAULT PIKE
According to Greek legend,what did the first-ever “marathon” runner say when he reached Athens,before dropping dead?	“WE HAVE WON!”
In 1896, James B. Connolly became the first Olympic champion in about 1500 years when he placed first in what event?	TRIPLE JUMP
Consisting of NBA superstars like Magic Johnson and Larry Bird,the 1992 “Dream Team” defeated what country to win gold?	CROATIA
Long before corporate-sponsored uniforms,which statement was true about the dress of most ancient Olympians?	THEY WERE NUDE
Though most ancient Olympians ate a variety of foods,the sprinting champion Charmis espoused a diet of only what?	DRIED FIGS
At the ’52 Olympics,three Americans won gold in shot put,discus and javelin,all wearing the same sweaty what for good luck?	SWEATSHIRT
After winning the 100-meter gold in 2008,Jamaican sprinter Usain Bolt divulged that earlier that day he’d eaten what?	MCDONALD’S CHICKEN MCNUGGETS
A strong rower himself before retiring due to mono,which of these actors is the son of an Olympic rowing gold medalist?	HUGH LAURIE
After boycotting the 1980 Summer Games in Moscow,the U.S. hosted its own alternative competition in what city?	PHILADELPHIA
The first athlete to grace the front of a Wheaties box, Bob Richards was a gold medalist in what Olympic event?	POLE VAULT
All but which of these flowers were featured in the 2012 Opening Ceremony,as they each represent a country in the UK?	VIOLET
Thought to be the predecessor to pole vaulting,”fierljeppen,” or “ditch-vaulting,” is a sport native to what country?	THE NETHERLANDS
Though she didn’t qualify for Sydney,actress Geena Davis competed for a spot on what U.S. Olympic team in 1999?	ARCHERY
Setting a record he would hold for the next 36 years,swimmer Mark Spitz won seven gold medals at which Olympic Games?	MUNICH
At the ’72 Olympics,the U.S. basketball team refused its silver medals after what controversy allowed the U.S.S.R. to win gold?	THERE WAS A GAME CLOCK MIX-UP
What was sprinter Usain Bolt’s average speed when he set the 100 meter dash world-record time of 9.58 seconds?	23 MPH
Dara Torres became the oldest Olympic swimmer to medal when she won silver at the Beijing games at what age?	41 *CORRECT*
A consultant for the fantasy film “The Hunger Games,” Olympian Khatuna Lorig has medaled in what sport?	ARCHERY
Coming in to 2012,Michael Phelps’ 16 Olympic medals trailed only Larisa Latynina’s 18,which were won in what event?	GYMNASTICS
The International Olympic Committee is headquartered in what European city?	LAUSANNE,SWITZERLAND
At the ’36 Olympics,Jesse Owens got some friendly,helpful advice from the German Luz Long,a leading rival in which event?	LONG JUMP
